class_code,subject_code,academic_year,semester,status
F1,ADK,2026/2027,Ganjil,active
F1,AQD,2026/2027,Ganjil,active
F1,BAR,2026/2027,Ganjil,active
F1,BIG,2026/2027,Ganjil,active
F1,BIN,2026/2027,Ganjil,active
F1,BJW,2026/2027,Ganjil,active
F1,FKH,2026/2027,Ganjil,active
F1,IPS,2026/2027,Ganjil,active
F1,MTK,2026/2027,Ganjil,active
F1,PJK,2026/2027,Ganjil,active
F1,PNC,2026/2027,Ganjil,active
F1,SRH,2026/2027,Ganjil,active
F1,SRP,2026/2027,Ganjil,active
K1,ADK,2026/2027,Ganjil,active
K1,AQD,2026/2027,Ganjil,active
K1,BAR,2026/2027,Ganjil,active
K1,BIG,2026/2027,Ganjil,active
K1,BIN,2026/2027,Ganjil,active
K1,BJW,2026/2027,Ganjil,active
K1,FKH,2026/2027,Ganjil,active
K1,IPS,2026/2027,Ganjil,active
K1,MTK,2026/2027,Ganjil,active
K1,PJK,2026/2027,Ganjil,active
K1,PNC,2026/2027,Ganjil,active
K1,SRH,2026/2027,Ganjil,active
K1,SRP,2026/2027,Ganjil,active
A2,ADK,2026/2027,Ganjil,active
A2,AQD,2026/2027,Ganjil,active
A2,BAR,2026/2027,Ganjil,active
A2,BIG,2026/2027,Ganjil,active
A2,BIN,2026/2027,Ganjil,active
A2,BJW,2026/2027,Ganjil,active
A2,FKH,2026/2027,Ganjil,active
A2,IPS,2026/2027,Ganjil,active
A2,MTK,2026/2027,Ganjil,active
A2,PJK,2026/2027,Ganjil,active
A2,PNC,2026/2027,Ganjil,active
A2,SRH,2026/2027,Ganjil,active
A2,SRP,2026/2027,Ganjil,active
U2,ADK,2026/2027,Ganjil,active
U2,AQD,2026/2027,Ganjil,active
U2,BAR,2026/2027,Ganjil,active
U2,BIG,2026/2027,Ganjil,active
U2,BIN,2026/2027,Ganjil,active
U2,BJW,2026/2027,Ganjil,active
U2,FKH,2026/2027,Ganjil,active
U2,IPS,2026/2027,Ganjil,active
U2,MTK,2026/2027,Ganjil,active
U2,PJK,2026/2027,Ganjil,active
U2,PNC,2026/2027,Ganjil,active
U2,SRH,2026/2027,Ganjil,active
U2,SRP,2026/2027,Ganjil,active
H3,ADK,2026/2027,Ganjil,active
H3,AQD,2026/2027,Ganjil,active
H3,BAR,2026/2027,Ganjil,active
H3,BIG,2026/2027,Ganjil,active
H3,BIN,2026/2027,Ganjil,active
H3,BJW,2026/2027,Ganjil,active
H3,FKH,2026/2027,Ganjil,active
H3,IPS,2026/2027,Ganjil,active
